RegionID,RegionName,City,State,Metro,CountyName,No of bedrooms,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
275331,Sequoyah,Oakland,CA,San Francisco,Alameda,4,774100,787800,803500,816600,824000,830300,838500,845800,849000,850600,857900,872100,884300,889200,889000,887900,893000,901800,907500,912500,924500,934700,938000,940100,949700,961100,966600,965300,966800,973100,976100,976800,983800,992800,999900,1010000,1020500
268062,Chabot Park,Oakland,CA,San Francisco,Alameda,4,654500,675000,699100,716900,727400,730300,727600,725000,730300,737300,739700,738600,742900,748700,752200,751300,746400,741800,746700,764400,781200,785900,785400,786200,789400,794900,799300,803900,812600,826200,838100,847300,857500,873300,895800,917000,927400
268041,Cameron Hills,Fremont,CA,San Francisco,Alameda,4,1474500,1493200,1513900,1530400,1539700,1551100,1566800,1589400,1611000,1616400,1608300,1609200,1617800,1618100,1611100,1603000,1594600,1587000,1586700,1597400,1615400,1630000,1640400,1652800,1672000,1694500,1713700,1728300,1741300,1749000,1751300,1751400,1748900,1767000,1813200,1853200,1866200
268095,Covell Park,Davis,CA,Sacramento,Yolo,4,666800,671700,680800,689700,693100,690000,686200,687400,692900,699000,703000,699800,695300,694800,696200,695300,695800,703600,715800,726100,732100,735700,735900,731800,729300,726000,724000,731000,739100,739100,741300,742900,738100,738900,748200,769900,793700
274577,Montclair,Oakland,CA,San Francisco,Alameda,4,1103000,1126800,1148900,1160500,1175600,1191200,1205900,1228600,1259700,1284500,1304200,1314400,1323000,1325500,1323000,1319900,1312500,1300600,1294700,1298100,1302200,1305800,1309700,1314700,1325400,1344200,1358700,1373800,1394700,1416800,1423400,1433700,1447800,1482300,1537000,1585300,1595300
273394,Creekside,Sacramento,CA,Sacramento,Sacramento,4,299000,300900,303200,304600,307600,310400,309700,308400,309200,310700,312400,314900,317100,318400,319600,321100,322800,326600,330800,332900,335100,338300,341100,343400,345000,347500,352800,357700,359300,359100,360400,363200,365200,367200,370300,372700,374600
343613,Barron Park,Palo Alto,CA,San Jose,Santa Clara,4,2737200,2802800,2868700,2919500,2951000,2984000,3036200,3080700,3094700,3094600,3087400,3070800,3053500,3043100,3039800,3038500,3025300,3006300,2984700,2969000,2965200,2960000,2937100,2929000,2954700,3001300,3060500,3138400,3196600,3221800,3243300,3287100,3336200,3423000,3562100,3684000,3723200
268153,Fairview Park,Oakland,CA,San Francisco,Alameda,4,996900,1016800,1046600,1076300,1101000,1128000,1160300,1201700,1241900,1263600,1263200,1266800,1279900,1286300,1273900,1262100,1258000,1245000,1222500,1216300,1226100,1228900,1225200,1238300,1270600,1305700,1322600,1320600,1314800,1321700,1332000,1328200,1308000,1329800,1405300,1473400,1493800
114654,Del Paso Heights,Sacramento,CA,Sacramento,Sacramento,4,193400,193100,193000,192200,191500,191800,193900,198700,202400,203300,205500,209400,211200,212800,215100,215900,215300,214800,214400,215500,218700,221800,222700,222200,222000,223700,227000,230800,234300,237800,241000,243600,244900,246800,247700,247100,247700
698709,Sharon Heights,Menlo Park,CA,San Francisco,San Mateo,4,2705000,2765800,2837700,2884000,2920000,2945500,2949500,2939400,2933100,2928900,2927200,2952400,3002000,3048200,3083100,3113400,3122600,3129300,3156500,3178300,3221600,3322200,3431100,3465500,3455600,3420000,3377500,3340400,3327900,3318900,3358900,3418900,3422200,3411000,3494000,3635600,3734100
343609,Crescent Park,Palo Alto,CA,San Jose,Santa Clara,4,4215900,4316500,4399600,4423600,4406600,4413300,4462400,4512300,4555700,4587600,4620700,4651200,4676100,4720100,4767500,4783300,4768700,4760800,4772700,4796900,4829000,4868500,4917000,4985800,5075200,5146900,5210500,5290800,5348000,5375300,5427800,5502200,5570200,5716200,5951400,6134300,6189600
268351,Northgate,Sacramento,CA,Sacramento,Sacramento,4,209600,211900,216200,220200,223800,228200,231700,233500,233900,233500,233100,235800,241000,246400,252600,258400,261300,261300,261100,260100,260500,263700,267900,269100,269400,270700,271700,272900,276100,279200,283400,288800,292200,294200,297300,301000,304500
698710,Central Menlo Park,Menlo Park,CA,San Francisco,San Mateo,4,2937300,2994600,3047500,3108600,3194100,3258000,3280300,3298800,3361200,3440300,3480000,3483400,3504100,3527200,3543800,3563100,3579300,3581800,3587700,3606800,3636900,3668500,3693700,3721500,3760600,3809500,3862700,3902600,3941400,3997700,4076700,4145200,4155600,4183900,4282200,4409400,4492800
268438,River Park,Sacramento,CA,Sacramento,Sacramento,4,513500,527300,540500,542100,539400,537300,539100,552600,562100,550000,535100,533400,537800,540500,541000,546400,552900,556500,558000,563500,575300,592600,606800,616700,623200,629600,639900,643800,646800,652200,657000,658800,662100,679600,708000,728000,735000
268442,Rockridge,Oakland,CA,San Francisco,Alameda,4,1241100,1264000,1289300,1305800,1327400,1370500,1413900,1457300,1506100,1547100,1570700,1595000,1614300,1622800,1620700,1604500,1565000,1537100,1537400,1539900,1530400,1519000,1509500,1512200,1532300,1554300,1577800,1609500,1637100,1649500,1654300,1667400,1674400,1718200,1813000,1903600,1937700
416983,Parkside,San Mateo,CA,San Francisco,San Mateo,4,942300,958800,977700,1005700,1038400,1065800,1089800,1101100,1102400,1105200,1112600,1115400,1127500,1148200,1171200,1176500,1163400,1147200,1138400,1138500,1152200,1167400,1170300,1169200,1177600,1186400,1191200,1211800,1247300,1275100,1298800,1324700,1350200,1368700,1396700,1432500,1455200
114490,Country Club,Stockton,CA,Stockton,San Joaquin,4,210700,212500,215300,217800,220200,223500,226300,228600,230800,233300,235300,237200,239800,242000,242900,244000,245900,246300,246400,247600,248700,248700,249400,251000,253300,256300,257900,259000,261900,266000,269200,270600,271000,270700,270600,271500,273300
